Player,Team,Age,GP,W,L,Min,PTS,FG%,3P%,FT%,AST,PF
JaMychal Green,GSW,32,56,29,27,784.7,364,54.0,38.2,77.6,50,104
Chris Duarte,IND,25,46,19,27,897.2,362,36.9,31.6,84.7,64,65
Steven Adams,MEM,29,42,28,14,1133.3,361,59.7,0.0,36.4,97,98
Wenyen Gabriel,LAL,26,64,34,30,973.2,360,59.6,29.4,61.9,33,138
Nassir Little,POR,23,54,22,32,976.1,359,44.2,36.7,71.7,50,66
Delon Wright,WAS,30,49,25,24,1200.6,358,47.2,35.0,86.0,190,59
Jordan Goodwin,WAS,24,58,21,37,998.5,355,45.1,33.0,76.2,144,88
Mark Williams,CHA,21,41,17,24,771.1,353,62.4,0.0,68.5,18,88
Dario Saric,OKC,28,55,25,30,763.3,343,45.8,38.5,84.3,73,97
Josh Christopher,HOU,21,61,13,48,718.0,343,46.5,25.0,77.8,68,57
Jalen Johnson,ATL,21,66,33,33,958.0,342,47.7,29.0,66.2,72,104
Kevin Knox II,POR,23,59,12,47,834.2,342,46.0,34.0,77.3,28,91
Nickeil Alexander-Walker,MIN,24,56,26,30,836.5,342,44.2,38.1,66.7,103,83
Will Barton,TOR,32,52,25,27,928.4,340,37.0,35.0,78.7,107,51
John Konchar,MEM,27,68,43,25,1393.0,339,42.3,34.7,80.0,89,105
Goran Dragic,MIL,36,55,26,29,809.5,335,42.1,35.8,65.9,143,65
Mike Muscala,BOS,31,59,29,30,844.2,333,43.2,38.6,78.0,45,92
Isaiah Livers,DET,24,51,10,41,1175.1,331,41.6,35.5,80.6,40,100
Landry Shamet,PHX,26,36,17,19,747.4,323,38.3,37.8,87.8,77,56
Mo Bamba,LAL,24,47,23,24,761.4,321,48.7,39.0,66.1,46,103
Christian Braun,DEN,21,72,48,24,1076.3,317,49.4,37.2,60.0,54,93
T.J. Warren,PHX,29,41,25,16,675.5,314,49.1,33.3,80.0,39,64
Ty Jerome,GSW,25,44,21,23,814.0,309,48.8,38.9,92.7,135,64
Lamar Stevens,CLE,25,59,37,22,1060.3,308,45.5,30.7,69.8,31,77
Yuta Watanabe,BKN,28,55,28,27,884.9,307,49.5,44.8,73.3,47,77
Derrick Jones Jr.,CHI,26,60,27,33,837.4,301,50.7,33.3,75.6,34,80
Chimezie Metu,SAC,26,63,40,23,657.4,297,58.9,24.3,75.9,40,80
Joe Ingles,MIL,35,43,30,13,973.2,294,43.1,40.4,85.7,136,73
Matisse Thybulle,POR,26,71,38,33,1200.4,293,43.5,36.5,67.9,53,113
Rudy Gay,UTA,36,56,29,27,815.6,293,37.8,25.2,85.7,57,68
Ben Simmons,BKN,26,42,24,18,1105.0,291,56.6,0.0,43.9,256,139
Montrezl Harrell,PHI,29,54,33,21,638.6,286,59.5,0.0,69.0,31,75
Jae'Sean Tate,HOU,27,31,7,24,677.5,283,48.0,28.3,72.5,84,106
Romeo Langford,SAS,23,40,12,28,793.1,283,47.4,27.6,67.3,47,66
Jeremiah Robinson-Earl,OKC,22,41,14,27,772.3,282,45.5,33.3,82.5,40,65
Vlatko Cancar,DEN,25,56,37,19,829.5,282,48.6,38.9,94.1,75,80
Robert Covington,LAC,32,46,18,28,752.0,280,44.0,38.8,75.0,55,85
Aleksej Pokusevski,OKC,21,34,16,18,701.3,276,43.4,36.5,62.9,64,58
Simone Fontecchio,UTA,27,48,24,24,665.2,276,36.1,32.7,78.6,36,53
Jaylin Williams,OKC,20,47,22,25,872.9,273,43.7,40.0,71.2,71,108
Robert Williams III,BOS,25,33,22,11,767.2,264,74.5,0.0,63.2,46,64
R.J. Hampton,DET,22,43,8,35,664.8,263,42.2,35.3,73.6,50,44
Moses Moody,GSW,20,60,34,26,752.2,262,45.3,34.1,69.2,46,46
Willy Hernangomez,NOP,28,38,23,15,457.7,262,52.7,27.3,77.9,33,64
Eugene Omoruyi,DET,26,38,10,28,605.1,261,44.9,26.8,66.2,25,88
Paul Reed,PHI,23,65,41,24,683.3,256,59.8,0.0,75.0,24,116
Austin Rivers,MIN,30,52,25,27,1016.3,255,43.5,35.0,76.9,75,80
P.J. Tucker,PHI,37,73,47,26,1870.7,253,41.7,38.2,82.6,59,175
Zeke Nnaji,DEN,22,50,33,17,672.8,251,57.6,26.9,67.2,16,96
Bismack Biyombo,PHX,30,58,31,27,835.1,245,57.5,0.0,33.8,54,112
Luke Kornet,BOS,27,65,42,23,743.2,245,69.3,27.3,81.1,45,75
Duane Washington Jr.,NYK,23,31,17,14,393.8,244,36.7,36.0,66.7,63,23
Ish Wainright,PHX,28,56,31,25,848.9,242,38.4,34.6,86.2,51,111
Theo Maledon,CHA,21,41,13,28,734.6,242,38.7,27.7,84.6,127,51
Thaddeus Young,TOR,34,54,23,31,795.5,240,54.5,17.6,69.2,75,88
Cade Cunningham,DET,21,12,3,9,400.2,239,41.5,27.9,83.7,72,34
Duncan Robinson,MIA,28,39,17,22,622.4,238,36.8,33.5,92.3,40,67
Garrison Mathews,ATL,26,52,15,37,658.2,238,36.2,35.1,89.6,25,60
MarJon Beauchamp,MIL,22,48,32,16,614.1,238,40.1,32.5,69.7,27,63
JT Thor,CHA,20,66,21,45,875.1,234,41.0,30.8,65.9,31,64
Patty Mills,BKN,34,39,18,21,531.4,234,41.9,37.6,91.3,54,29
Danuel House Jr.,PHI,29,52,35,17,726.1,233,48.2,35.6,70.2,37,61
Jaxson Hayes,NOP,22,46,22,24,607.0,233,55.5,10.3,69.9,34,67
Aaron Holiday,ATL,26,59,30,29,786.3,232,42.4,40.7,83.3,79,75
Daishen Nix,HOU,21,55,13,42,891.4,224,34.5,29.2,66.7,131,58
Malachi Flynn,TOR,24,50,27,23,644.7,222,34.7,34.9,72.4,65,60
Usman Garuba,HOU,21,72,18,54,938.7,220,50.3,45.3,60.9,64,128
Haywood Highsmith,MIA,26,51,26,25,891.0,218,42.9,35.0,46.2,35,74
Payton Pritchard,BOS,25,46,30,16,572.8,218,39.0,33.1,73.3,48,35
Maxi Kleber,DAL,31,36,17,19,915.2,217,45.8,35.5,70.3,49,84
